ind_id;ind_in_id;ind_it_id;ind_qty;ind_total
302;317;317;8466;9236
303;12;12;3361;42392
304;56;56;2282;48287
305;9927;9927;6617;45117
306;9786;9786;5482;45981
307;63;63;4760;19244
308;9827;9827;3634;1142
309;337;337;1334;43045
310;9972;9972;8089;34205
311;4442;4442;849;31059
312;831;831;4782;5807
313;9614;9614;1834;41670
314;423;423;3733;18252
315;1584;1584;7846;5864
316;9909;9909;2242;20027
317;206;206;1811;36270
318;1365;1365;880;8853
319;2251;2251;8535;18620
320;9453;9453;1113;19176
321;3214;3214;3676;11734
322;9113;9113;3324;31368
323;298;298;2932;7257
324;600;600;2123;10441
325;9851;9851;8340;36602
326;11;11;6600;26369
327;350;350;3646;33961
328;5;5;6053;30102
329;9795;9795;7399;6335
330;5015;5015;935;22499
331;402;402;9906;2942
332;356;356;6317;7522
333;9510;9510;7118;42300
334;1777;1777;2130;43446
335;1803;1803;5014;673
336;1390;1390;4606;14862
337;275;275;6694;3236
338;249;249;8485;13126
339;5058;5058;1972;37477
340;8669;8669;1824;29425
341;216;216;3437;36076
342;9640;9640;2213;45422
343;9634;9634;6019;33837
344;6511;6511;2984;13746
345;171;171;1730;16486
346;3227;3227;1202;24214
347;9921;9921;3349;43960
348;9301;9301;6030;3218
349;192;192;5533;43820
350;279;279;8644;38950
351;1693;1693;2410;1019
352;9550;9550;0;4976
353;9895;9895;8197;4176
354;9670;9670;5902;36194
355;9432;9432;9145;36291
356;859;859;6724;36234
357;1688;1688;6295;1979
358;763;763;5534;31950
359;672;672;1238;11685
360;734;734;3942;18748
361;9711;9711;17;12019
362;48;48;1836;39141
363;9989;9989;8708;44807
364;1470;1470;6235;20545
365;809;809;399;31262
366;9802;9802;8184;23536
367;938;938;4532;13507
368;586;586;7665;48224
369;891;891;9705;17579
370;9624;9624;8719;41001
371;9659;9659;3239;16790
372;231;231;5549;23144
373;2484;2484;3327;21375
374;599;599;8909;39194
375;3324;3324;6710;33100
376;533;533;7677;16312
377;1910;1910;1463;47530
378;89;89;7305;43510
379;1281;1281;9949;43955
380;473;473;392;12388
381;9540;9540;7138;32408
382;9690;9690;3250;30743
383;339;339;7617;36281
384;1342;1342;519;17384
385;646;646;8756;21480
386;537;537;8525;47966
387;391;391;1708;3346
388;9863;9863;415;6105
389;322;322;7974;7154
390;83;83;5406;14439
391;126;126;8720;12883
392;7763;7763;9073;21285
393;587;587;5456;1441
394;102;102;4542;18729
395;123;123;1955;17406
396;573;573;9989;46935
397;93;93;4729;614
398;1376;1376;5978;13291
399;9231;9231;5620;32483
400;359;359;4800;42949
401;2167;2167;7199;10706
402;432;432;3538;45736
403;115;115;3644;35639
404;1423;1423;7312;2818
405;217;217;2293;22159
406;3699;3699;3095;27875
407;1186;1186;9083;33600
408;1963;1963;9289;14981
409;812;812;9192;3093
410;1081;1081;1467;19979
411;101;101;5260;38703
412;2243;2243;8990;8468
413;1049;1049;5585;37995
414;9854;9854;846;49296
415;1366;1366;6805;36339
416;436;436;6767;31276
417;461;461;4219;2859
418;2771;2771;0;27423
419;9595;9595;0;49065
420;125;125;8188;33296
421;1137;1137;7480;20190
422;3529;3529;1874;7401
423;9606;9606;6476;41069
424;827;827;4116;3140
425;1108;1108;9691;28118
426;277;277;4298;45504
427;901;901;10000;21702
428;355;355;4167;2646
429;2871;2871;93;21788
430;1339;1339;8786;36165
431;9691;9691;6953;15697
432;2666;2666;6722;34239
433;539;539;2947;11027
434;2648;2648;5485;1005
435;51;51;1685;1681
436;949;949;5148;36671
437;194;194;3194;45103
438;31;31;3600;33462
439;839;839;9606;45224
440;201;201;304;43605
441;107;107;8226;14365
442;151;151;5661;38364
443;887;887;9442;3011
444;9887;9887;2419;37175
445;143;143;1224;25735
446;822;822;6506;4415
447;931;931;145;33290
448;495;495;9730;2144
449;125;125;3487;32389
450;380;380;4610;36129
451;9387;9387;7738;44075
452;28;28;5188;23191
453;147;147;5769;14226
454;361;361;6541;49186
455;1163;1163;8499;22759
456;1551;1551;0;3305
457;9622;9622;3745;4667
458;9636;9636;8325;32498
459;3306;3306;3082;24700
460;3871;3871;3847;26654
461;105;105;9347;6172
462;535;535;7312;30954
463;915;915;8127;43193
464;124;124;3002;0
465;310;310;297;16928
466;1080;1080;0;4281
467;803;803;2335;4464
468;7465;7465;2469;47440
469;4141;4141;8521;36990
470;86;86;9776;47615
471;877;877;7305;49668
472;4832;4832;437;0
473;1064;1064;7652;36172
474;228;228;3205;19397
475;3108;3108;7161;32198
476;1279;1279;3914;5459
477;9748;9748;9962;18930
478;489;489;1819;31826
479;832;832;2432;4389
480;2557;2557;4056;3893
481;825;825;2892;27404
482;1976;1976;3185;23702
483;3254;3254;4152;12214
484;69;69;270;19558
485;125;125;679;20256
486;2179;2179;5484;35658
487;5768;5768;1047;42090
488;2146;2146;1764;42506
489;9875;9875;953;20012
490;1350;1350;6406;11840
491;1060;1060;6986;28246
492;3388;3388;7941;48376
493;3205;3205;6824;32004
494;576;576;111;12604
495;1527;1527;9753;8761
496;2032;2032;259;18570
497;1100;1100;2993;0
498;939;939;99;37433
499;6173;6173;2658;33411
500;125;125;9145;45170
501;559;559;84;36083
502;818;818;0;32894
503;399;399;8756;21271
504;1475;1475;7985;0
505;9800;9800;370;6974
506;1185;1185;2424;46300
507;9942;9942;3050;4529
508;526;526;6958;32721
509;264;264;4532;49957
510;2119;2119;8027;24677
511;529;529;1854;40993
512;623;623;6579;8766
513;9159;9159;6680;30256
514;282;282;1312;40933
515;377;377;4268;48915
516;2505;2505;189;773
517;1844;1844;661;5094
518;211;211;5194;998
519;244;244;7042;14440
520;9853;9853;7447;36613
521;320;320;7519;10697
522;42;42;9250;7535
523;1809;1809;570;24838
524;1802;1802;1515;11775
525;9597;9597;2115;34451
526;9403;9403;2789;35599
527;125;125;9365;8743
528;1189;1189;3613;49238
529;913;913;7541;17663
530;2188;2188;3452;23567
531;548;548;6902;10635
532;470;470;921;13627
533;1067;1067;9863;18026
534;9592;9592;9161;35519
535;24;24;3288;36655
536;9947;9947;3972;18306
537;348;348;4136;20999
538;96;96;5200;6133
539;9559;9559;3782;16727
540;191;191;7846;15914
541;2122;2122;7630;15029
542;1385;1385;8526;37534
543;1418;1418;6515;35701
544;619;619;3737;17412
545;835;835;9100;1513
546;9944;9944;9827;11245
547;749;749;306;31584
548;4593;4593;6628;37312
549;9709;9709;2555;49460
550;889;889;9922;31231
551;177;177;9092;7510
552;493;493;5066;7763
553;265;265;5951;4130
554;9623;9623;2652;819
555;94;94;5140;22713
556;1432;1432;9895;37635
557;9703;9703;9514;11244
558;9683;9683;7240;21118
559;9388;9388;5870;36819
560;3808;3808;7581;21375
561;9732;9732;3060;37556
562;5623;5623;9437;5290
563;1920;1920;9417;15057
564;255;255;1080;26389
565;558;558;1125;14042
566;9801;9801;932;27365
567;784;784;6717;40740
568;561;561;7519;44737
569;9695;9695;8024;4278
570;884;884;296;30609
571;1055;1055;6053;29774
572;1269;1269;5461;48961
573;9537;9537;1411;34271
574;2509;2509;9197;48526
575;267;267;9818;21584
576;937;937;8993;23162
577;8982;8982;2735;21834
578;1084;1084;6833;7426
579;167;167;2416;10262
580;1918;1918;2288;23206
581;4310;4310;2483;4015
582;4861;4861;0;21431
583;9913;9913;2736;49778
584;1609;1609;1057;36432
585;1619;1619;7619;16057
586;633;633;4361;2871
587;947;947;1836;9497
588;9812;9812;4970;17206
589;306;306;7210;12805
590;97;97;4020;49019
591;943;943;3394;7062
592;632;632;4458;49880
593;422;422;6897;19313
594;1343;1343;9331;45352
595;3514;3514;6202;28357
596;741;741;4785;9739
597;1627;1627;8193;22476
598;132;132;9110;9312
599;1779;1779;5435;3369
600;9456;9456;2612;24147
601;621;621;8167;20505
602;125;125;3110;36847
603;383;383;2787;33034
604;442;442;8604;18851
605;55;55;2258;1457
606;9682;9682;3868;8548
607;1425;1425;3630;23492
608;607;607;3654;5604
609;180;180;6755;29235
610;9448;9448;2835;49550
611;918;918;6148;15801
612;1294;1294;7160;3817
613;1748;1748;2680;10856
614;2215;2215;4824;13613
615;668;668;3582;17359
616;1690;1690;5097;16125
617;440;440;323;5512
618;188;188;8380;28625
619;961;961;1798;10331
620;1016;1016;6720;11170
621;719;719;9290;17867
622;260;260;5962;23533
623;9642;9642;9507;31931
624;1774;1774;3499;5258
625;9966;9966;4629;23547
626;1562;1562;5838;29893
627;32;32;9157;29647
628;479;479;6131;38918
629;9306;9306;5210;20168
630;1358;1358;4411;11845
631;755;755;1624;685
632;240;240;9883;12522
633;9391;9391;7300;4057
634;761;761;4221;36114
635;316;316;4249;2701
636;1155;1155;9178;17167
637;1293;1293;9696;38396
638;460;460;4132;30926
639;431;431;8800;34975
640;767;767;3750;7508
641;708;708;730;29379
642;9962;9962;8182;3893
643;2267;2267;8216;37971
644;33;33;4374;13254
645;114;114;7872;33217
646;2783;2783;6235;3244
647;152;152;1778;39023
648;439;439;2072;5700
649;2133;2133;5749;27992
650;400;400;1104;12232
651;1171;1171;4461;4226
652;2150;2150;9814;43851
653;284;284;7311;48980
654;243;243;8716;42198
655;758;758;3322;6280
656;9957;9957;2205;46971
657;1682;1682;3603;4915
658;142;142;9289;27775
659;346;346;3974;45304
660;557;557;6420;21563
661;1326;1326;4711;28901
662;1575;1575;7500;34573
663;9956;9956;8444;35435
664;1213;1213;2344;17390
665;50;50;1211;48864
666;849;849;6265;3279
667;9518;9518;9860;49760
668;690;690;8460;24742
669;1254;1254;575;10912
670;183;183;4404;191
671;1386;1386;5402;27728
672;38;38;6191;24585
673;168;168;9580;43650
674;625;625;8048;2822
675;164;164;5989;31791
676;318;318;1107;13973
677;824;824;7747;35562
678;728;728;5132;18676
679;659;659;5627;22040
680;2009;2009;8395;20302
681;4684;4684;4060;40870
682;458;458;7085;23947
683;159;159;382;10925
684;775;775;4106;7936
685;9544;9544;0;7618
686;691;691;9950;6834
687;1887;1887;1810;13541
688;252;252;2572;11858
689;1367;1367;8585;29833
690;66;66;898;5729
691;125;125;2043;12251
692;236;236;5575;10621
693;990;990;407;35622
694;184;184;157;13411
695;214;214;2379;28607
696;2593;2593;9039;44805
697;225;225;3231;18457
698;1460;1460;9739;20581
699;412;412;5872;14390
700;1025;1025;3163;29938
701;499;499;1606;3483
702;205;205;6376;14281
703;594;594;3318;44787
704;290;290;1496;27801
705;1133;1133;1344;34503
706;1638;1638;5702;29641
707;288;288;8270;200
708;9412;9412;233;46157
709;6604;6604;9263;10407
710;3493;3493;0;42306
711;283;283;2726;11409
712;895;895;2215;36239
713;1560;1560;4458;5734
714;516;516;8472;25001
715;1533;1533;3662;30693
716;9906;9906;5580;4953
717;100;100;2360;23647
718;9818;9818;7627;27499
719;5679;5679;7118;9771
720;567;567;4337;42029
721;300;300;2394;39738
722;9588;9588;9401;37901
723;505;505;3693;44908
724;510;510;1274;5182
725;9741;9741;7561;37939
726;475;475;8532;17107
727;3106;3106;8830;38962
728;9813;9813;4995;30239
729;1259;1259;6033;24215
730;2542;2542;7201;36985
731;1176;1176;9010;45515
732;342;342;2758;14980
733;9463;9463;1369;4286
734;928;928;1875;42102
735;661;661;1968;16819
736;1927;1927;4020;26589
737;319;319;2018;29159
738;109;109;741;33124
739;1377;1377;5588;23432
740;2656;2656;9038;27977
741;3415;3415;8404;6634
742;19;19;1680;17383
743;1883;1883;1577;1451
744;1565;1565;3309;37526
745;347;347;5859;44319
746;2767;2767;8684;26012
747;4023;4023;7585;4886
748;480;480;7103;10621
749;2710;2710;6745;32718
750;72;72;4578;23654
751;4532;4532;18;21157
752;956;956;1412;40958
753;193;193;6114;10810
754;799;799;5401;22360
755;9604;9604;3478;40200
756;287;287;3763;15581
757;2249;2249;7913;19372
758;9214;9214;5101;39605
759;9;9;5758;39861
760;833;833;2964;17396
761;187;187;2515;40678
762;175;175;707;19961
763;608;608;2236;21942
764;896;896;3032;23421
765;2687;2687;253;46790
766;406;406;9969;46428
767;1315;1315;845;31952
768;9998;9998;2583;13631
769;3307;3307;6503;8182
770;45;45;9642;4103
771;62;62;3562;25793
772;1057;1057;1618;40523
773;9889;9889;2038;4066
774;2787;2787;8080;31794
775;9946;9946;5934;35395
776;363;363;713;22354
777;323;323;7823;36450
778;274;274;384;7381
779;9755;9755;5416;10862
780;540;540;8877;11927
781;257;257;946;12221
782;9410;9410;1726;28341
783;1313;1313;8250;47520
784;894;894;1455;561
785;870;870;7183;15827
786;85;85;7597;4557
787;973;973;6645;4170
788;2002;2002;5968;31926
789;9798;9798;8398;1902
790;1436;1436;8206;1237
791;9571;9571;6107;7216
792;916;916;6918;39554
793;1219;1219;4984;43263
794;74;74;2624;6036
795;4846;4846;6522;37298
796;1814;1814;7696;36672
797;174;174;9444;45441
798;2165;2165;8545;28030
799;3404;3404;3055;40736
800;53;53;5890;47891
801;1107;1107;7838;44059
802;641;641;5002;41254
803;125;125;600;2439
804;782;782;7104;28614
805;9696;9696;1016;47860
806;997;997;8401;30634
807;1331;1331;9374;36891
808;135;135;8034;29015
809;1628;1628;9468;36964
810;5611;5611;2764;17845
811;1545;1545;5940;29131
812;482;482;7529;11990
813;1394;1394;9685;28742
814;9479;9479;6881;27934
815;1489;1489;2017;5174
816;3272;3272;789;12336
817;299;299;2458;22441
818;3062;3062;780;21381
819;9819;9819;5850;7593
820;1450;1450;2657;42233
821;933;933;3324;42258
822;7028;7028;4878;26
823;1673;1673;4186;11729
824;76;76;8298;6944
825;378;378;3534;46887
826;490;490;6644;36239
827;952;952;6635;47259
828;469;469;9415;48030
829;797;797;1557;44495
830;1957;1957;8238;48722
831;2494;2494;1270;26912
832;9692;9692;9279;8419
833;1302;1302;7330;16645
834;508;508;9526;12971
835;88;88;1039;17867
836;9828;9828;5945;20966
837;3674;3674;1126;25902
838;752;752;1146;18905
839;9799;9799;439;2700
840;90;90;8783;35193
841;98;98;8224;17666
842;1119;1119;8611;25154
843;730;730;6501;44961
844;1266;1266;5633;34056
845;1327;1327;2265;22106
846;7954;7954;8579;45225
847;575;575;7233;10812
848;2224;2224;8104;15328
849;680;680;606;861
850;368;368;5733;24962
851;465;465;5238;14231
852;723;723;8663;0
853;219;219;2695;24060
854;2127;2127;398;20437
855;68;68;2566;48502
856;2299;2299;2960;5632
857;408;408;815;44033
858;902;902;2303;29525
859;2627;2627;3569;45494
860;3060;3060;4372;31727
861;9948;9948;1765;11620
862;311;311;9960;33375
863;172;172;6476;38861
864;823;823;1230;34520
865;9955;9955;1494;38241
866;371;371;6662;40933
867;136;136;0;20711
868;1333;1333;198;45345
869;3732;3732;158;15770
870;18;18;5842;10067
871;2429;2429;6073;34208
872;1091;1091;9664;36434
873;9980;9980;1312;3535
874;6824;6824;341;18680
875;953;953;7068;22400
876;199;199;4433;24567
877;523;523;4713;17103
878;492;492;8377;5064
879;386;386;8553;27672
880;1174;1174;6033;34838
881;582;582;4956;1661
882;2545;2545;9411;25427
883;1156;1156;8532;31931
884;1441;1441;8809;47168
885;1228;1228;5825;19533
886;1472;1472;2999;34491
887;212;212;2607;2852
888;613;613;6584;37982
889;1502;1502;6932;18142
890;239;239;6959;7338
891;593;593;8079;23833
892;522;522;5129;41441
893;1371;1371;8823;30407
894;912;912;7577;37177
895;153;153;6068;41080
896;9721;9721;7017;1817
897;1131;1131;8264;28805
898;958;958;2134;40634
899;20;20;5270;6720
900;44;44;4139;43123
901;4;4;5603;1394
902;1666;1666;8380;49880
903;9475;9475;7075;45041
904;2556;2556;2261;5261
905;2388;2388;4534;16653
906;1985;1985;6070;38527
907;292;292;3926;10695
908;924;924;8322;5379
909;3708;3708;5627;48036
910;717;717;5965;23935
911;2579;2579;7854;38529
912;9219;9219;4583;38968
913;407;407;2263;1852
914;9823;9823;6270;10656
915;810;810;8614;30066
916;281;281;4961;36193
917;568;568;3234;1444
918;930;930;1151;41692
919;313;313;651;14987
920;1359;1359;8231;3750
921;1082;1082;8887;38080
922;376;376;78;32728
923;1453;1453;3267;27202
924;1906;1906;3199;8431
925;425;425;7763;36233
926;9687;9687;943;42766
927;445;445;840;6027
928;9777;9777;3735;16358
929;312;312;4273;27600
930;113;113;51;20582
931;2786;2786;6170;45762
932;994;994;2578;26469
933;520;520;3107;48344
934;9829;9829;4414;34548
935;828;828;429;33443
936;141;141;6576;1780
937;181;181;2336;30385
938;702;702;6270;26669
939;1668;1668;4274;30515
940;125;125;9755;31005
941;536;536;9074;23795
942;1989;1989;4285;47473
943;1588;1588;956;39946
944;429;429;967;44207
945;843;843;9106;18809
946;1592;1592;3495;34864
947;9759;9759;2866;39588
948;463;463;2553;19751
949;9584;9584;8964;7111
950;6267;6267;1106;4886
951;9341;9341;3782;373
952;1248;1248;7113;37112
953;685;685;1483;25647
954;1701;1701;7040;2969
955;3968;3968;5252;5043
956;9523;9523;5524;18666
957;1217;1217;5113;22678
958;2385;2385;3875;36610
959;534;534;4499;19028
960;1898;1898;3590;23886
961;1458;1458;5230;32500
962;595;595;191;44337
963;663;663;4048;27779
964;1138;1138;5576;27454
965;1306;1306;9795;28173
966;373;373;5275;12060
967;1961;1961;1476;40624
968;1071;1071;7849;17303
969;1336;1336;5840;27212
970;357;357;2037;28286
971;9716;9716;2625;5808
972;117;117;6965;24774
973;9337;9337;6877;11176
974;451;451;896;33981
975;13;13;9158;29955
976;800;800;4601;40607
977;853;853;9123;42782
978;259;259;2299;32995
979;1474;1474;4094;39622
980;2451;2451;4268;1368
981;9309;9309;8077;3177
982;1027;1027;8288;36276
983;681;681;4771;9246
984;1531;1531;3167;22714
985;715;715;6270;20208
986;1943;1943;9057;8649
987;1646;1646;1095;821
988;538;538;6067;45374
989;1073;1073;9162;29505
990;9910;9910;0;14777
991;675;675;4906;29101
992;57;57;1462;43775
993;1541;1541;8461;7641
994;254;254;1771;6628
995;1382;1382;684;48504
996;9974;9974;4525;29457
997;1557;1557;8882;19693
998;801;801;237;12491
999;139;139;5381;16033
1000;374;374;1172;6749
1001;428;428;3831;44240
1002;652;652;2018;22285
1003;266;266;0;42538
1004;2130;2130;5017;28824
1005;649;649;6713;49077
1006;233;233;6927;25599
1007;695;695;8482;25935
1008;9658;9658;6817;41665
1009;1586;1586;235;23014
1010;581;581;586;14436
1011;544;544;7883;25884
1012;421;421;650;39683
1013;579;579;6402;46987
1014;417;417;2813;17659
1015;616;616;9782;20709
1016;9884;9884;230;46224
1017;774;774;5513;35090
1018;1009;1009;6943;5065
1019;700;700;5420;7245
1020;2284;2284;881;19524
1021;2743;2743;9307;11238
1022;9847;9847;737;45249
1023;687;687;4179;37798
1024;3809;3809;5410;12435
1025;3588;3588;8688;49184
1026;272;272;934;12033
1027;3252;3252;575;17133
1028;664;664;4164;4548
1029;2;2;5194;35477
1030;962;962;6193;497
1031;1704;1704;6372;20913
1032;1407;1407;275;0
1033;2131;2131;4364;30290
1034;9577;9577;3742;16961
1035;917;917;1127;32872
1036;7871;7871;262;7127
1037;158;158;2249;30892
1038;9548;9548;3060;43737
1039;765;765;1575;30422
1040;815;815;7845;23636
1041;689;689;4686;44609
1042;1383;1383;9453;32713
1043;1463;1463;8822;9156
1044;1516;1516;509;22360
1045;305;305;8185;15069
1046;125;125;8512;38893
1047;483;483;8505;39418
1048;919;919;8649;46787
1049;160;160;8680;39981
1050;1643;1643;1540;35919
1051;1045;1045;5171;2280
1052;1301;1301;7583;44366
1053;679;679;3462;14628
1054;879;879;9357;5245
1055;49;49;6074;46509
1056;756;756;434;45510
1057;1601;1601;9652;48991
1058;1243;1243;6609;34486
1059;353;353;6330;30102
1060;9025;9025;5778;29640
1061;2128;2128;6351;37044
1062;210;210;4317;8466
1063;1026;1026;1622;21387
1064;125;125;4043;6187
1065;1663;1663;4214;22516
1066;658;658;7607;43522
1067;9473;9473;6286;45593
1068;2169;2169;2660;22721
1069;9261;9261;1686;14115
1070;162;162;9519;10531
1071;2193;2193;7982;39816
1072;9903;9903;2453;2486
1073;808;808;5368;4668
1074;1518;1518;7576;31428
