pod_id;pod_po_id;pod_it_id;pod_qtity;pod_remainingqtity
513;9159;9159;292;1508
514;282;282;4583;393
515;377;377;3981;63
516;2505;2505;2;689
517;1844;1844;130;514
518;211;211;4952;1689
519;244;244;1245;864
520;9853;9853;4615;1879
521;320;320;4975;1194
522;42;42;1654;1255
523;1809;1809;4191;655
524;1802;1802;4195;1357
525;9597;9597;4415;1633
526;9403;9403;1581;2409
527;125;125;1484;2460
528;1189;1189;4660;1069
529;913;913;3354;1870
530;2188;2188;541;281
531;548;548;4509;1286
532;470;470;353;234
533;1067;1067;881;942
534;9592;9592;2611;355
535;24;24;4556;1629
536;9947;9947;2464;2266
537;348;348;1373;946
538;96;96;509;1583
539;9559;9559;64;2355
540;191;191;3169;1883
541;2122;2122;1899;1917
542;1385;1385;1885;2458
543;1418;1418;62;2409
544;619;619;4515;1400
545;835;835;4228;960
546;9944;9944;24;935
547;749;749;2470;1979
548;4593;4593;4028;1109
549;9709;9709;3823;241
550;889;889;4703;1054
551;177;177;125;83
552;493;493;338;2071
553;265;265;3919;2312
554;9623;9623;1846;2414
555;94;94;1990;1032
556;1432;1432;2204;210
557;9703;9703;779;898
558;9683;9683;2075;405
559;9388;9388;4478;1247
560;3808;3808;4624;353
561;9732;9732;2764;2228
562;5623;5623;3517;1492
563;1920;1920;644;1390
564;255;255;129;2039
565;558;558;583;125
566;9801;9801;2450;394
567;784;784;1806;600
568;561;561;489;191
569;9695;9695;2681;1153
570;884;884;26;1265
571;1055;1055;1516;298
572;1269;1269;3630;2243
573;9537;9537;4621;1431
574;2509;2509;4888;1834
575;267;267;3077;1481
576;937;937;2716;2463
577;8982;8982;3090;1237
578;1084;1084;1591;1346
579;167;167;4676;1756
580;1918;1918;4968;396
581;4310;4310;4391;698
582;4861;4861;4112;430
583;9913;9913;2456;1351
584;1609;1609;837;828
585;1619;1619;3651;815
586;633;633;202;197
587;947;947;589;1715
588;9812;9812;3508;423
589;306;306;3891;1029
590;97;97;407;1823
591;943;943;3777;1418
592;632;632;389;1367
593;422;422;1895;541
594;1343;1343;886;336
595;3514;3514;2300;2002
596;741;741;4653;2156
597;1627;1627;1254;424
598;132;132;1755;1067
599;1779;1779;4480;370
600;9456;9456;2064;1006
601;621;621;2421;360
602;125;125;4535;744
603;383;383;4789;825
604;442;442;4001;2344
605;55;55;2306;2443
606;9682;9682;1073;1311
607;1425;1425;717;1153
608;607;607;4031;237
609;180;180;3769;830
610;9448;9448;4275;2451
611;918;918;4114;2296
612;1294;1294;4188;1364
613;1748;1748;2399;1643
614;2215;2215;4511;8
615;668;668;232;549
616;1690;1690;3653;2424
617;440;440;1060;876
618;188;188;4808;664
619;961;961;1478;575
620;1016;1016;380;1841
621;719;719;1860;1179
622;260;260;3298;177
623;9642;9642;1599;1663
624;1774;1774;2274;1831
625;9966;9966;1250;2347
626;1562;1562;1126;1431
627;32;32;1735;1702
628;479;479;3735;1094
629;9306;9306;2588;2333
630;1358;1358;3425;1826
631;755;755;1462;2038
632;240;240;1334;169
633;9391;9391;2111;976
634;761;761;2611;750
635;316;316;2546;36
636;1155;1155;4857;2455
637;1293;1293;4323;2105
638;460;460;3455;1507
639;431;431;3531;885
640;767;767;2578;2005
641;708;708;4486;1545
642;9962;9962;1559;1478
643;2267;2267;4739;2093
644;33;33;125;1078
645;114;114;4616;2028
646;2783;2783;1293;54
647;152;152;4589;2225
648;439;439;2990;532
649;2133;2133;2384;2288
650;400;400;653;2079
651;1171;1171;3648;1279
652;2150;2150;3592;2261
653;284;284;1446;492
654;243;243;277;1029
655;758;758;125;2327
656;9957;9957;4100;183
657;1682;1682;203;1581
658;142;142;4123;1495
659;346;346;2935;2498
660;557;557;2514;1011
661;1326;1326;2751;2109
662;1575;1575;1180;58
663;9956;9956;4338;404
664;1213;1213;1983;1505
665;50;50;1443;413
666;849;849;343;2126
667;9518;9518;2813;388
668;690;690;2780;893
669;1254;1254;2077;2472
670;183;183;4788;595
671;1386;1386;1965;318
672;38;38;376;1869
673;168;168;4330;2279
674;625;625;2606;1070
675;164;164;1277;296
676;318;318;3900;2202
677;824;824;895;584
678;728;728;301;584
679;659;659;3559;2303
680;2009;2009;1983;2293
681;4684;4684;981;1707
682;458;458;1661;1169
683;159;159;3136;1307
684;775;775;4351;254
685;9544;9544;3081;546
686;691;691;3940;2278
687;1887;1887;4834;2178
688;252;252;15;2448
689;1367;1367;1057;923
690;66;66;3012;2354
691;125;125;2408;873
692;236;236;3423;610
693;990;990;1921;1510
694;184;184;1808;2374
695;214;214;703;2396
696;2593;2593;2351;1486
697;225;225;125;1074
698;1460;1460;3240;588
699;412;412;2502;665
700;1025;1025;115;2402
701;499;499;4395;2167
702;205;205;1803;1332
703;594;594;3513;561
704;290;290;2512;1693
705;1133;1133;3202;1761
706;1638;1638;419;1911
707;288;288;277;2483
708;9412;9412;4318;1922
709;6604;6604;986;732
710;3493;3493;169;125
711;283;283;1377;2099
712;895;895;3205;997
713;1560;1560;4903;1692
714;516;516;125;205
715;1533;1533;564;1805
716;9906;9906;951;939
717;100;100;1533;1252
718;9818;9818;1090;149
719;5679;5679;3044;958
720;567;567;4988;635
721;300;300;3902;2449
722;9588;9588;2503;440
723;505;505;510;2470
724;510;510;2798;118
725;9741;9741;1723;2222
726;475;475;4066;2208
727;3106;3106;2380;359
728;9813;9813;3542;2405
729;1259;1259;3455;1174
730;2542;2542;2522;1311
731;1176;1176;1902;1128
732;342;342;3926;2497
733;9463;9463;660;2419
734;928;928;3393;2402
735;661;661;185;126
736;1927;1927;4164;374
737;319;319;180;608
738;109;109;2468;2114
739;1377;1377;4149;994
740;2656;2656;4934;1136
741;3415;3415;3931;2295
742;19;19;2804;255
743;1883;1883;4623;1715
744;1565;1565;3848;798
745;347;347;4846;254
746;2767;2767;4680;2377
747;4023;4023;4808;1419
748;480;480;2506;1305
749;2710;2710;2859;569
750;72;72;969;1457
751;4532;4532;275;234
752;956;956;4613;924
753;193;193;4307;2131
754;799;799;3253;29
755;9604;9604;3600;2453
756;287;287;2613;1726
757;2249;2249;3885;1362
758;9214;9214;4006;443
759;9;9;1790;1971
760;833;833;3447;2053
761;187;187;822;1552
762;175;175;1878;77
763;608;608;1822;747
764;896;896;1795;1922
765;2687;2687;4084;1497
766;406;406;1243;2103
767;1315;1315;717;1078
768;9998;9998;4812;1791
769;3307;3307;4717;78
770;45;45;1400;1430
771;62;62;771;331
772;1057;1057;4065;1638
773;9889;9889;1942;1656
774;2787;2787;3110;2323
775;9946;9946;1056;841
776;363;363;1098;2194
777;323;323;2880;1225
778;274;274;1663;1672
779;9755;9755;2953;2364
780;540;540;2043;2346
781;257;257;4258;789
782;9410;9410;4875;1554
783;1313;1313;682;1836
784;894;894;2485;2218
785;870;870;2246;1077
786;85;85;2289;204
787;973;973;4620;365
788;2002;2002;2407;2390
789;9798;9798;4793;2449
790;1436;1436;2573;900
791;9571;9571;279;1512
792;916;916;1174;165
793;1219;1219;677;142
794;74;74;702;1441
795;4846;4846;4112;2085
796;1814;1814;2053;2217
797;174;174;981;2008
798;2165;2165;2827;2294
799;3404;3404;4764;1801
800;53;53;3602;652
801;1107;1107;3963;1298
802;641;641;4996;2128
803;125;125;2789;1226
804;782;782;1459;1639
805;9696;9696;198;1126
806;997;997;1210;1096
807;1331;1331;2671;1769
808;135;135;1196;2308
809;1628;1628;2196;1689
810;5611;5611;2501;259
811;1545;1545;4733;500
812;482;482;2221;2191
813;1394;1394;1053;580
814;9479;9479;4748;2125
815;1489;1489;4189;1264
816;3272;3272;947;2498
817;299;299;1195;742
818;3062;3062;4337;1029
819;9819;9819;4550;845
820;1450;1450;1794;1293
821;933;933;1624;1737
822;7028;7028;3310;1189
823;1673;1673;19;1843
824;76;76;2143;1679
825;378;378;1120;2419
826;490;490;4598;165
827;952;952;3387;1495
828;469;469;1239;214
829;797;797;3999;238
830;1957;1957;4004;1124
831;2494;2494;117;185
832;9692;9692;52;1432
833;1302;1302;1899;2371
834;508;508;4352;1711
835;88;88;3081;1048
836;9828;9828;4263;1161
837;3674;3674;2085;328
838;752;752;4224;196
839;9799;9799;2287;1092
840;90;90;1035;2481
841;98;98;4619;935
842;1119;1119;3424;558
843;730;730;211;700
844;1266;1266;2291;2189
845;1327;1327;2841;400
846;7954;7954;3058;1821
847;575;575;121;2086
848;2224;2224;930;518
849;680;680;1513;177
850;368;368;3164;2087
851;465;465;857;1475
852;723;723;1644;979
853;219;219;3278;1449
854;2127;2127;2970;508
855;68;68;1977;1415
856;2299;2299;652;109
857;408;408;4977;285
858;902;902;646;2048
859;2627;2627;339;1721
860;3060;3060;600;960
861;9948;9948;2824;2101
862;311;311;1431;1554
863;172;172;2197;2070
864;823;823;3192;565
865;9955;9955;2384;74
866;371;371;4680;1569
867;136;136;322;2321
868;1333;1333;1702;1369
869;3732;3732;1667;1077
870;18;18;4927;102
871;2429;2429;3862;2170
872;1091;1091;1972;545
873;9980;9980;2049;2438
874;6824;6824;3514;864
875;953;953;2176;357
876;199;199;3201;1179
877;523;523;3098;488
878;492;492;2728;2155
879;386;386;4303;1278
880;1174;1174;3062;597
881;582;582;4477;580
882;2545;2545;2457;977
883;1156;1156;4727;125
884;1441;1441;834;36
885;1228;1228;3147;651
886;1472;1472;3473;2150
887;212;212;1775;1707
888;613;613;3929;2484
889;1502;1502;2374;1863
890;239;239;2428;296
891;593;593;4287;938
892;522;522;1439;876
893;1371;1371;3885;780
894;912;912;1687;976
895;153;153;3212;132
896;9721;9721;3187;380
897;1131;1131;1226;1881
898;958;958;2020;988
899;20;20;4908;135
900;44;44;3161;2114
901;4;4;2736;1332
902;1666;1666;3419;2001
903;9475;9475;4264;716
904;2556;2556;1587;1941
905;2388;2388;4302;74
906;1985;1985;3886;2417
907;292;292;4595;929
908;924;924;4765;1042
909;3708;3708;794;584
910;717;717;3777;150
911;2579;2579;2554;235
912;9219;9219;2248;2121
913;407;407;1343;631
914;9823;9823;2277;769
915;810;810;1124;1124
916;281;281;366;379
917;568;568;1705;1123
918;930;930;1363;1517
919;313;313;45;1418
920;1359;1359;3911;916
921;1082;1082;2905;868
922;376;376;1393;1585
923;1453;1453;4329;457
924;1906;1906;4239;1072
925;425;425;639;138
926;9687;9687;2423;1727
927;445;445;3088;1389
928;9777;9777;362;125
929;312;312;301;2070
930;113;113;3990;2305
931;2786;2786;1974;483
932;994;994;1078;976
933;520;520;2821;191
934;9829;9829;1141;353
935;828;828;325;40
936;141;141;1057;2447
937;181;181;3193;1096
938;702;702;3139;2365
939;1668;1668;1533;1537
940;125;125;4261;2463
941;536;536;3878;734
942;1989;1989;2010;1220
943;1588;1588;3135;664
944;429;429;3597;1899
945;843;843;4874;1713
946;1592;1592;2038;60
947;9759;9759;95;1318
948;463;463;125;245
949;9584;9584;1607;10
950;6267;6267;562;2353
951;9341;9341;2845;2254
952;1248;1248;1481;1758
953;685;685;4864;364
954;1701;1701;1974;2070
955;3968;3968;996;1720
956;9523;9523;255;1246
957;1217;1217;1343;2247
958;2385;2385;4091;1543
959;534;534;24;2144
960;1898;1898;947;1802
961;1458;1458;1879;848
962;595;595;798;1028
963;663;663;4233;1360
964;1138;1138;4463;1237
965;1306;1306;1804;100
966;373;373;1802;1674
967;1961;1961;1476;44
968;1071;1071;4427;1767
969;1336;1336;201;590
970;357;357;1952;823
971;9716;9716;67;27
972;117;117;2173;514
973;9337;9337;3567;2086
974;451;451;4831;1555
975;13;13;785;684
976;800;800;32;2196
977;853;853;894;203
978;259;259;3258;2186
979;1474;1474;731;1245
980;2451;2451;4366;1012
981;9309;9309;3602;1321
982;1027;1027;2327;1482
983;681;681;1480;1378
984;1531;1531;4801;2217
985;715;715;2456;50
986;1943;1943;2508;1226
987;1646;1646;2111;612
988;538;538;4105;621
989;1073;1073;1825;1134
990;9910;9910;886;1294
991;675;675;3983;199
992;57;57;1966;2054
993;1541;1541;3169;220
994;254;254;2191;2236
995;1382;1382;4654;1615
996;9974;9974;3462;2207
997;1557;1557;4646;2361
998;801;801;2547;1928
999;139;139;1330;1799
1000;374;374;1794;38
1001;428;428;3398;15
1002;652;652;2611;2051
1003;266;266;4894;2155
1004;2130;2130;4656;1688
1005;649;649;495;2326
1006;233;233;672;1739
1007;695;695;2914;2172
1008;9658;9658;33;1309
1009;1586;1586;1189;1386
1010;581;581;963;2024
1011;544;544;4361;1042
1012;421;421;3085;61
1013;579;579;3360;297
1014;417;417;659;1132
1015;616;616;2346;480
1016;9884;9884;4552;1867
1017;774;774;4318;2150
1018;1009;1009;4433;1643
1019;700;700;2007;1187
1020;2284;2284;4296;1375
1021;2743;2743;4692;1061
1022;9847;9847;2371;1924
1023;687;687;2602;633
1024;3809;3809;4316;1797
1025;3588;3588;2969;624
1026;272;272;3101;474
1027;3252;3252;4005;294
1028;664;664;1375;2351
1029;2;2;176;2441
1030;962;962;2323;977
1031;1704;1704;386;2335
1032;1407;1407;3348;776
1033;2131;2131;1927;387
1034;9577;9577;3937;1206
1035;917;917;967;996
1036;7871;7871;990;1771
1037;158;158;2433;1827
1038;9548;9548;1825;2191
1039;765;765;4305;2392
1040;815;815;1784;811
1041;689;689;4595;1555
1042;1383;1383;2078;1804
1043;1463;1463;2915;1736
1044;1516;1516;861;1610
1045;305;305;1525;252
1046;125;125;898;138
1047;483;483;3607;1756
1048;919;919;2510;1588
1049;160;160;4846;1755
1050;1643;1643;102;2248
1051;1045;1045;4145;57
1052;1301;1301;213;718
1053;679;679;540;740
1054;879;879;2034;423
1055;49;49;2103;1478
1056;756;756;1026;592
1057;1601;1601;8;1418
1058;1243;1243;578;358
1059;353;353;1686;1064
1060;9025;9025;2394;1851
1061;2128;2128;1667;1445
1062;210;210;1539;2321
1063;1026;1026;4857;1368
1064;125;125;3867;408
1065;1663;1663;576;2190
1066;658;658;1013;266
1067;9473;9473;1157;2174
1068;2169;2169;4423;1591
1069;9261;9261;4692;135
1070;162;162;1355;1210
1071;2193;2193;2118;39
1072;9903;9903;2492;2460
1073;808;808;127;1752
1074;1518;1518;222;375
1075;1299;1299;4702;2321
1076;1617;1617;2613;1758
1077;584;584;4457;188
1078;2022;2022;1741;1523
1079;4936;4936;2791;1544
1080;9923;9923;2071;485
1081;569;569;4495;1218
1082;515;515;1495;1206
1083;1289;1289;1529;595
1084;434;434;74;192
1085;1322;1322;3178;920
1086;724;724;173;1617
1087;1421;1421;2807;35
1088;786;786;4893;2465
1089;1337;1337;1834;2229
1090;2674;2674;4942;404
1091;697;697;981;353
1092;9737;9737;1855;1469
1093;1830;1830;138;1127
1094;1415;1415;1911;540
1095;1208;1208;116;1867
1096;560;560;3055;1734
1097;296;296;2221;435
1098;1406;1406;4049;1327
1099;1485;1485;284;1921
1100;449;449;511;2487
1101;2134;2134;4741;465
1102;481;481;4185;164
1103;2452;2452;2818;1453
1104;643;643;3491;545
1105;589;589;2984;2209
1106;1493;1493;1652;98
1107;9619;9619;86;1466
1108;9590;9590;318;365
1109;2112;2112;2333;603
1110;1461;1461;4490;2221
1111;3330;3330;1570;403
